Feature_Set,Classifier,F1_Score_Macro
Contrast + DarkChannel + HOG + DL_Inception + DL_ResNet + DL_EfficientNet,RandomForest,0.9603072287730854
Edge + DarkChannel + HOG + DL_Inception + DL_ResNet + DL_EfficientNet,RandomForest,0.9603072287730854
LBP + HOG + SpatialFreq + DL_Inception + SpatialFreq_mRMR,RandomForest,0.9602981226272685
LBP + HOG + SpatialFreq + DL_ResNet,RandomForest,0.9602952230926425
Contrast + Edge + LBP + HOG + SpatialFreq + DL_ResNet + DL_EfficientNet + SpatialFreq_mRMR,RandomForest,0.9602930773367235
HOG + DL_Inception,RandomForest,0.9602921300457421
Contrast + Edge + DarkChannel + LBP + HOG + SpatialFreq + DL_Inception + DL_EfficientNet,RandomForest,0.9602917159778244
Edge + DarkChannel + HOG + DL_ResNet + DL_EfficientNet + SpatialFreq_mRMR,RandomForest,0.960290790866536
Edge + DarkChannel + LBP + HOG + DL_EfficientNet + SpatialFreq_mRMR,RandomForest,0.9602872807682685
HOG + DL_Inception + DL_EfficientNet + SpatialFreq_mRMR,RandomForest,0.9602814715728597
LBP + HOG + SpatialFreq + DL_ResNet + DL_EfficientNet,RandomForest,0.960278567701792
LBP + HOG + SpatialFreq + DL_Inception + DL_ResNet,RandomForest,0.960278554924826
Edge + DarkChannel + HOG + DL_Inception + DL_ResNet + SpatialFreq_mRMR,RandomForest,0.9602780197581631
Contrast + Edge + HOG + DL_Inception + DL_ResNet + SpatialFreq_mRMR,RandomForest,0.9602780197581631
Contrast + DarkChannel + HOG + DL_Inception + DL_ResNet + SpatialFreq_mRMR,RandomForest,0.9602780197581631
Edge + DarkChannel + LBP + HOG + DL_Inception + DL_EfficientNet + SpatialFreq_mRMR,RandomForest,0.9602729751577914
Edge + HOG + SpatialFreq + DL_ResNet + SpatialFreq_mRMR,RandomForest,0.9602707813364081
Contrast + HOG + SpatialFreq + DL_ResNet + SpatialFreq_mRMR,RandomForest,0.9602707813364081
DarkChannel + HOG + SpatialFreq + DL_ResNet + SpatialFreq_mRMR,RandomForest,0.9602707813364081
DarkChannel + HOG + SpatialFreq + DL_Inception + DL_ResNet + DL_EfficientNet + SpatialFreq_mRMR,RandomForest,0.960270479385256
Contrast + Edge + HOG + SpatialFreq + DL_EfficientNet + SpatialFreq_mRMR,RandomForest,0.9602701997923913
Edge + DarkChannel + HOG + SpatialFreq + DL_EfficientNet + SpatialFreq_mRMR,RandomForest,0.9602701997923913
Contrast + DarkChannel + HOG + SpatialFreq + DL_EfficientNet + SpatialFreq_mRMR,RandomForest,0.9602701997923913
Edge + DarkChannel + LBP + HOG,RandomForest,0.9602695616975854
Contrast + Edge + LBP + HOG,RandomForest,0.9602695616975854
Contrast + DarkChannel + LBP + HOG,RandomForest,0.9602695616975854
Contrast + HOG + DL_EfficientNet,RandomForest,0.9602695354711817
Edge + HOG + DL_EfficientNet,RandomForest,0.9602695354711817
DarkChannel + HOG + DL_EfficientNet,RandomForest,0.9602695354711817
LBP + HOG + SpatialFreq + DL_Inception,RandomForest,0.960268647556717
Edge + DarkChannel + LBP + HOG + DL_ResNet,RandomForest,0.9602657784489261
Contrast + Edge + LBP + HOG + DL_ResNet,RandomForest,0.9602657784489261
Contrast + DarkChannel + LBP + HOG + DL_ResNet,RandomForest,0.9602657784489261
DarkChannel + HOG + DL_ResNet,RandomForest,0.9602607082850577
HOG + DL_Inception + DL_ResNet,RandomForest,0.9602579988625124
HOG,RandomForest,0.9602575554967364
Contrast + Edge + HOG + DL_Inception + DL_ResNet,RandomForest,0.9602542878608716
Contrast + Edge + DarkChannel + LBP + HOG + DL_Inception + DL_EfficientNet,RandomForest,0.9602526337920603
Contrast + Edge + DarkChannel + HOG + DL_ResNet + SpatialFreq_mRMR,RandomForest,0.9602503596688852
Contrast + DarkChannel + LBP + HOG + DL_Inception + DL_ResNet + DL_EfficientNet + SpatialFreq_mRMR,RandomForest,0.960245777181233
Contrast + Edge + LBP + HOG + DL_Inception + DL_ResNet + DL_EfficientNet + SpatialFreq_mRMR,RandomForest,0.960245777181233
Edge + DarkChannel + LBP + HOG + DL_Inception + DL_ResNet + DL_EfficientNet + SpatialFreq_mRMR,RandomForest,0.9602368219180404
HOG + SpatialFreq + DL_Inception + DL_ResNet + SpatialFreq_mRMR,RandomForest,0.960231600677622
Contrast + Edge + HOG + SpatialFreq + SpatialFreq_mRMR,RandomForest,0.9602262624884965
Contrast + DarkChannel + HOG + SpatialFreq + SpatialFreq_mRMR,RandomForest,0.9602262624884965
Contrast + HOG + SpatialFreq_mRMR,RandomForest,0.9592634410541919
LBP + HOG + DL_EfficientNet + SpatialFreq_mRMR,RandomForest,0.9592623884469498
Contrast + Edge + DarkChannel + LBP + HOG + DL_EfficientNet + SpatialFreq_mRMR,RandomForest,0.9592548524341948
